rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Don't Look Now",1973,http://www.icheckmovies.com/movies/dont+look+now/,9446,796,127,17,844,,http://www.imdb.com/title/tt0069995/,"2012-03-14 22:10:06",no,no,no,no
2,0,"Silent Hill",2006,http://www.icheckmovies.com/movies/silent+hill/,14547,545,300,2,252,,http://www.imdb.com/title/tt0384537/,"2012-03-14 22:10:21",no,yes,no,no
3,0,Repulsion,1965,http://www.icheckmovies.com/movies/repulsion/,9480,1055,98,16,824,,http://www.imdb.com/title/tt0059646/,"2012-03-14 22:10:23",yes,no,no,no
4,0,"Ein Toter hing im Netz",1960,http://www.icheckmovies.com/movies/ein+toter+hing+im+netz/,358,5,57,1,85,"Horrors of Spider Island",http://www.imdb.com/title/tt0054333/,no,no,no,no,no
5,0,"Les Yeux sans visage",1960,http://www.icheckmovies.com/movies/les+yeux+sans+visage/,6543,649,35,14,727,"Eyes Without a Face",http://www.imdb.com/title/tt0053459/,"2012-03-14 22:10:05",no,no,no,no
6,0,Ssa-i-bo-geu-ji-man-gwen-chan-a,2006,http://www.icheckmovies.com/movies/ssa-i-bo-geu-ji-man-gwen-chan-a/,2854,310,47,2,161,"I'm a Cyborg, But That's OK",http://www.imdb.com/title/tt0497137/,"2012-03-14 22:10:18",yes,no,no,no
7,0,"El topo",1970,http://www.icheckmovies.com/movies/el+topo/,5240,530,107,8,513,"El Topo",http://www.imdb.com/title/tt0067866/,"2012-03-14 22:10:09",no,no,no,no
8,0,"Donnie Darko",2001,http://www.icheckmovies.com/movies/donnie+darko/,91800,9990,1028,21,1248,,http://www.imdb.com/title/tt0246578/,"2012-03-14 22:10:27",yes,no,no,no
9,0,"Help, Help, the Globolinks!",1969,http://www.icheckmovies.com/movies/help+help+the+globolinksexclamation/,131,3,10,1,42,,http://www.imdb.com/title/tt2240708/,no,no,no,no,no
10,0,Archangel,1990,http://www.icheckmovies.com/movies/archangel/,990,32,27,5,162,,http://www.imdb.com/title/tt0099053/,no,no,no,yes,no
11,0,"Jacob's Ladder",1990,http://www.icheckmovies.com/movies/jacobs+ladder/,11151,902,99,3,476,,http://www.imdb.com/title/tt0099871/,"2012-03-14 22:10:25",yes,no,no,no
12,0,"Tromeo and Juliet",1996,http://www.icheckmovies.com/movies/tromeo+and+juliet/,930,34,23,2,81,,http://www.imdb.com/title/tt0114733/,no,no,no,yes,no
13,0,"Kung Fu Hustle",2004,http://www.icheckmovies.com/movies/kung+fu+hustle/,11932,975,94,11,422,,http://www.imdb.com/title/tt0373074/,"2014-06-25 20:20:34",no,no,no,no
14,0,"Blood Diner",1987,http://www.icheckmovies.com/movies/blood+diner/,565,24,30,1,122,,http://www.imdb.com/title/tt0092669/,no,no,no,no,no
15,0,Steppenwolf,1974,http://www.icheckmovies.com/movies/steppenwolf/,220,9,6,1,60,,http://www.imdb.com/title/tt0072206/,"2012-03-14 22:10:06",no,no,no,no
16,0,"Carnival of Souls",1962,http://www.icheckmovies.com/movies/carnival+of+souls/,4399,345,50,5,439,,http://www.imdb.com/title/tt0055830/,no,no,no,no,no
17,0,Tideland,2005,http://www.icheckmovies.com/movies/tideland/,3103,222,121,2,161,,http://www.imdb.com/title/tt0410764/,"2012-03-14 22:10:15",no,no,no,no
18,0,"Naked Lunch",1991,http://www.icheckmovies.com/movies/naked+lunch/,7852,588,103,5,435,,http://www.imdb.com/title/tt0102511/,"2012-03-14 22:10:23",yes,no,no,no
19,0,"The Reflecting Skin",1990,http://www.icheckmovies.com/movies/the+reflecting+skin/,830,49,28,2,166,,http://www.imdb.com/title/tt0100469/,"2012-03-14 22:10:11",yes,no,no,no
20,0,Gummo,1997,http://www.icheckmovies.com/movies/gummo/,4598,450,142,5,355,,http://www.imdb.com/title/tt0119237/,"2013-03-09 04:40:17",no,no,no,no
21,0,"The Wicker Man",1973,http://www.icheckmovies.com/movies/the+wicker+man/,14968,1156,158,13,775,,http://www.imdb.com/title/tt0070917/,"2012-03-14 22:10:05",no,no,no,no
22,0,Eraserhead,1977,http://www.icheckmovies.com/movies/eraserhead/,18781,1810,357,20,1068,,http://www.imdb.com/title/tt0074486/,"2012-03-14 22:10:25",yes,no,no,no
23,0,"The Lair of the White Worm",1988,http://www.icheckmovies.com/movies/the+lair+of+the+white+worm/,1736,79,47,2,159,,http://www.imdb.com/title/tt0095488/,no,no,no,no,no
24,0,Begotten,1989,http://www.icheckmovies.com/movies/begotten/,1540,88,89,3,194,,http://www.imdb.com/title/tt0101420/,no,no,no,yes,no
25,0,Nostalghia,1983,http://www.icheckmovies.com/movies/nostalghia/,3192,409,56,10,490,Nostalgia,http://www.imdb.com/title/tt0086022/,"2012-03-14 22:10:06",no,no,no,no
26,0,"La voie lactée",1969,http://www.icheckmovies.com/movies/la+voie+lactee/,1297,101,14,4,221,"The Milky Way",http://www.imdb.com/title/tt0066534/,no,no,no,yes,no
27,0,"Synecdoche, New York",2008,http://www.icheckmovies.com/movies/synecdoche+new+york/,14349,1789,294,9,691,,http://www.imdb.com/title/tt0383028/,"2012-06-22 02:54:28",yes,no,no,no
28,0,"The Rocky Horror Picture Show",1975,http://www.icheckmovies.com/movies/the+rocky+horror+picture+show/,33999,2861,390,13,721,,http://www.imdb.com/title/tt0073629/,"2012-03-14 22:10:25",no,no,no,no
29,0,"La cité des enfants perdus",1995,http://www.icheckmovies.com/movies/la+cite+des+enfants+perdus/,7329,737,79,4,420,"The City of Lost Children",http://www.imdb.com/title/tt0112682/,"2012-03-14 22:10:19",yes,no,no,no
30,0,"A Clockwork Orange",1971,http://www.icheckmovies.com/movies/a+clockwork+orange/,88794,10252,853,37,1855,,http://www.imdb.com/title/tt0066921/,"2012-03-14 22:10:27",yes,no,no,no
31,0,"Naisu no mori: The First Contact",2005,http://www.icheckmovies.com/movies/naisu+no+mori+the+first+contact/,392,36,10,1,87,"Funky Forest: The First Contact",http://www.imdb.com/title/tt0451829/,"2017-10-22 21:04:07",no,no,no,no
32,0,Phantasm,1979,http://www.icheckmovies.com/movies/phantasm/,4207,199,86,2,272,,http://www.imdb.com/title/tt0079714/,"2014-11-06 13:19:51",no,no,no,no
33,0,"Evil Dead II",1987,http://www.icheckmovies.com/movies/evil+dead+ii/,23985,2026,192,9,739,,http://www.imdb.com/title/tt0092991/,"2012-03-14 22:10:06",no,no,no,no
34,0,Stalker,1979,http://www.icheckmovies.com/movies/stalker/,14134,2343,194,24,1166,,http://www.imdb.com/title/tt0079944/,"2012-03-14 22:10:06",yes,no,no,no
35,0,Delicatessen,1991,http://www.icheckmovies.com/movies/delicatessen/,14374,1308,114,15,586,,http://www.imdb.com/title/tt0101700/,"2012-03-14 22:10:17",yes,no,no,no
36,0,Pi,1998,http://www.icheckmovies.com/movies/pi/,22199,1798,287,6,541,,http://www.imdb.com/title/tt0138704/,"2012-03-14 22:10:24",yes,no,no,no
37,0,"Time Bandits",1981,http://www.icheckmovies.com/movies/time+bandits/,9466,431,99,4,372,,http://www.imdb.com/title/tt0081633/,"2012-03-14 22:10:25",yes,no,no,no
38,0,Malpertuis,1971,http://www.icheckmovies.com/movies/malpertuis/,346,25,6,3,138,"The Legend of Doom House",http://www.imdb.com/title/tt0067386/,no,no,no,yes,no
39,0,"Cowards Bend the Knee or The Blue Hands",2003,http://www.icheckmovies.com/movies/cowards+bend+the+knee+or+the+blue+hands/,484,34,6,1,133,,http://www.imdb.com/title/tt0346800/,"2012-03-14 22:10:09",no,no,no,no
40,0,"El laberinto del fauno",2006,http://www.icheckmovies.com/movies/el+laberinto+del+fauno/,74831,8360,528,34,1488,"Pan's Labyrinth",http://www.imdb.com/title/tt0457430/,"2012-03-14 22:10:27",yes,no,no,no
41,0,"I Can See You",2008,http://www.icheckmovies.com/movies/i+can+see+you/,137,5,10,1,36,,http://www.imdb.com/title/tt0871865/,no,no,no,no,no
42,0,"Johnny Got His Gun",1971,http://www.icheckmovies.com/movies/johnny+got+his+gun/,1954,241,16,5,281,,http://www.imdb.com/title/tt0067277/,no,no,no,yes,no
43,0,Ink,2009,http://www.icheckmovies.com/movies/ink/,1625,140,59,1,91,,http://www.imdb.com/title/tt1071804/,"2017-05-15 05:48:32",no,no,no,no
44,0,"Greaser's Palace",1972,http://www.icheckmovies.com/movies/greasers+palace/,275,7,18,2,74,,http://www.imdb.com/title/tt0068659/,"2025-04-04 21:00:57",no,no,no,no
