rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,Wings,1927,http://www.icheckmovies.com/movies/wings/,2789,180,20,12,344,,http://www.imdb.com/title/tt0018578/,no,no,no,yes,no
2,0,"Sunrise: A Song of Two Humans",1927,http://www.icheckmovies.com/movies/sunrise+a+song+of+two+humans/,9788,1500,82,37,1153,Sunrise,http://www.imdb.com/title/tt0018455/,"2012-03-14 22:10:06",no,no,no,no
3,0,"The Broadway Melody",1929,http://www.icheckmovies.com/movies/the+broadway+melody/,1650,25,92,2,156,,http://www.imdb.com/title/tt0019729/,no,no,no,no,no
4,0,"All Quiet on the Western Front",1930,http://www.icheckmovies.com/movies/all+quiet+on+the+western+front/,13881,827,71,21,797,,http://www.imdb.com/title/tt0020629/,"2012-05-13 04:24:44",yes,no,no,no
5,0,Cimarron,1931,http://www.icheckmovies.com/movies/cimarron/,1449,15,100,2,153,,http://www.imdb.com/title/tt0021746/,no,no,no,no,no
6,0,"Grand Hotel",1932,http://www.icheckmovies.com/movies/grand+hotel/,3275,185,30,5,344,,http://www.imdb.com/title/tt0022958/,no,no,no,yes,no
7,0,Cavalcade,1933,http://www.icheckmovies.com/movies/cavalcade/,1235,10,62,4,147,,http://www.imdb.com/title/tt0023876/,no,no,no,no,no
8,0,"It Happened One Night",1934,http://www.icheckmovies.com/movies/it+happened+one+night/,15169,1609,71,28,1072,,http://www.imdb.com/title/tt0025316/,"2012-03-14 22:10:27",yes,no,no,no
9,0,"Mutiny on the Bounty",1935,http://www.icheckmovies.com/movies/mutiny+on+the+bounty/,5031,186,33,6,402,,http://www.imdb.com/title/tt0026752/,"2013-07-08 03:59:45",no,no,no,no
10,0,"The Great Ziegfeld",1936,http://www.icheckmovies.com/movies/the+great+ziegfeld/,1711,37,42,3,196,,http://www.imdb.com/title/tt0027698/,no,no,no,no,no
11,0,"The Life of Emile Zola",1937,http://www.icheckmovies.com/movies/the+life+of+emile+zola/,1896,71,21,7,265,,http://www.imdb.com/title/tt0029146/,no,no,no,no,no
12,0,"You Can't Take It with You",1938,http://www.icheckmovies.com/movies/you+cant+take+it+with+you/,3858,317,20,7,357,,http://www.imdb.com/title/tt0030993/,no,no,no,no,no
13,0,"Gone with the Wind",1939,http://www.icheckmovies.com/movies/gone+with+the+wind/,44114,2911,450,31,1292,,http://www.imdb.com/title/tt0031381/,"2012-03-14 22:10:06",yes,no,no,no
14,0,Rebecca,1940,http://www.icheckmovies.com/movies/rebecca/,17264,1736,73,23,973,,http://www.imdb.com/title/tt0032976/,"2012-03-14 22:10:06",yes,no,no,no
15,0,"How Green Was My Valley",1941,http://www.icheckmovies.com/movies/how+green+was+my+valley/,4748,302,65,11,528,,http://www.imdb.com/title/tt0033729/,no,no,no,no,no
16,0,"Mrs. Miniver",1942,http://www.icheckmovies.com/movies/mrs.+miniver/,2889,169,35,9,384,,http://www.imdb.com/title/tt0035093/,no,no,no,yes,no
17,0,Casablanca,1942,http://www.icheckmovies.com/movies/casablanca/,58771,6202,287,39,1789,,http://www.imdb.com/title/tt0034583/,"2012-03-14 22:10:26",yes,no,no,no
18,0,"Going My Way",1944,http://www.icheckmovies.com/movies/going+my+way/,2040,49,35,6,263,,http://www.imdb.com/title/tt0036872/,"2013-04-01 04:40:40",no,no,no,no
19,0,"The Lost Weekend",1945,http://www.icheckmovies.com/movies/the+lost+weekend/,6395,585,37,18,627,,http://www.imdb.com/title/tt0037884/,"2012-06-14 15:29:58",no,no,no,no
20,0,"The Best Years of Our Lives",1946,http://www.icheckmovies.com/movies/the+best+years+of+our+lives/,8376,859,54,29,928,,http://www.imdb.com/title/tt0036868/,"2012-05-12 22:17:34",no,no,no,no
21,0,"Gentleman's Agreement",1947,http://www.icheckmovies.com/movies/gentlemans+agreement/,2541,104,39,4,243,,http://www.imdb.com/title/tt0039416/,no,no,no,no,no
22,0,Hamlet,1948,http://www.icheckmovies.com/movies/hamlet/,4656,180,40,10,361,,http://www.imdb.com/title/tt0040416/,no,no,no,no,no
23,0,"All the King's Men",1949,http://www.icheckmovies.com/movies/all+the+kings+men/,2944,131,20,9,288,,http://www.imdb.com/title/tt0041113/,no,no,no,no,no
24,0,"All About Eve",1950,http://www.icheckmovies.com/movies/all+about+eve/,17650,2086,69,26,1197,,http://www.imdb.com/title/tt0042192/,"2012-03-14 22:10:04",no,no,no,no
25,0,"An American in Paris",1951,http://www.icheckmovies.com/movies/an+american+in+paris/,9057,369,102,17,600,,http://www.imdb.com/title/tt0043278/,"2014-10-26 07:23:13",no,no,no,no
26,0,"The Greatest Show on Earth",1952,http://www.icheckmovies.com/movies/the+greatest+show+on+earth/,2687,59,80,4,211,,http://www.imdb.com/title/tt0044672/,"2018-12-26 04:41:05",no,no,no,no
27,0,"From Here to Eternity",1953,http://www.icheckmovies.com/movies/from+here+to+eternity/,6862,364,40,13,624,,http://www.imdb.com/title/tt0045793/,no,no,no,yes,no
28,0,"On the Waterfront",1954,http://www.icheckmovies.com/movies/on+the+waterfront/,20043,1769,104,32,1143,,http://www.imdb.com/title/tt0047296/,"2012-03-14 22:10:06",no,no,no,no
29,0,Marty,1955,http://www.icheckmovies.com/movies/marty/,4459,307,28,10,426,,http://www.imdb.com/title/tt0048356/,no,no,no,no,no
30,0,"Around the World in Eighty Days",1956,http://www.icheckmovies.com/movies/around+the+world+in+eighty+days/,6389,118,81,8,292,"Around the World in 80 Days",http://www.imdb.com/title/tt0048960/,"2012-06-17 06:38:18",no,no,no,no
31,0,"The Bridge on the River Kwai",1957,http://www.icheckmovies.com/movies/the+bridge+on+the+river+kwai/,26968,1918,83,33,1089,,http://www.imdb.com/title/tt0050212/,"2012-03-14 22:10:06",no,no,no,no
32,0,Gigi,1958,http://www.icheckmovies.com/movies/gigi/,5410,186,168,12,425,,http://www.imdb.com/title/tt0051658/,"2012-03-14 22:10:06",no,no,no,no
33,0,Ben-Hur,1959,http://www.icheckmovies.com/movies/ben-hur/,32148,1376,194,23,954,,http://www.imdb.com/title/tt0052618/,"2012-03-14 22:10:10",yes,no,no,no
34,0,"The Apartment",1960,http://www.icheckmovies.com/movies/the+apartment/,22329,2965,84,29,1276,,http://www.imdb.com/title/tt0053604/,"2012-03-14 22:10:06",yes,no,no,no
35,0,"West Side Story",1961,http://www.icheckmovies.com/movies/west+side+story/,32333,1364,333,22,875,,http://www.imdb.com/title/tt0055614/,"2012-03-14 22:10:25",yes,no,no,no
36,0,"Lawrence of Arabia",1962,http://www.icheckmovies.com/movies/lawrence+of+arabia/,31827,2993,217,40,1474,,http://www.imdb.com/title/tt0056172/,"2012-03-14 22:10:06",no,no,no,no
37,0,"Tom Jones",1963,http://www.icheckmovies.com/movies/tom+jones/,2521,58,119,13,315,,http://www.imdb.com/title/tt0057590/,"2017-06-19 05:43:23",no,no,no,no
38,0,"My Fair Lady",1964,http://www.icheckmovies.com/movies/my+fair+lady/,22718,1189,143,18,643,,http://www.imdb.com/title/tt0058385/,"2012-06-09 21:57:00",no,no,no,no
39,0,"The Sound of Music",1965,http://www.icheckmovies.com/movies/the+sound+of+music/,53991,2766,359,25,878,,http://www.imdb.com/title/tt0059742/,"2012-03-14 22:10:24",no,no,no,no
