rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Citizen Kane",1941,http://www.icheckmovies.com/movies/citizen+kane/,51135,4826,435,40,1885,,http://www.imdb.com/title/tt0033467/,"2012-03-14 22:10:27",yes,no,no,no
2,0,"The Godfather",1972,http://www.icheckmovies.com/movies/the+godfather/,99342,13405,453,43,2155,,http://www.imdb.com/title/tt0068646/,"2012-03-14 22:10:07",yes,no,no,no
3,0,Casablanca,1942,http://www.icheckmovies.com/movies/casablanca/,58771,6202,287,39,1789,,http://www.imdb.com/title/tt0034583/,"2012-03-14 22:10:26",yes,no,no,no
4,0,"Raging Bull",1980,http://www.icheckmovies.com/movies/raging+bull/,36559,3114,250,35,1375,,http://www.imdb.com/title/tt0081398/,"2012-03-14 22:10:09",yes,no,no,no
5,0,"Singin' in the Rain",1952,http://www.icheckmovies.com/movies/singin+in+the+rain/,42960,4194,171,37,1562,,http://www.imdb.com/title/tt0045152/,"2012-03-14 22:10:27",yes,no,no,no
6,0,"Gone with the Wind",1939,http://www.icheckmovies.com/movies/gone+with+the+wind/,44114,2911,450,31,1292,,http://www.imdb.com/title/tt0031381/,"2012-03-14 22:10:06",yes,no,no,no
7,0,"Lawrence of Arabia",1962,http://www.icheckmovies.com/movies/lawrence+of+arabia/,31827,2993,217,40,1474,,http://www.imdb.com/title/tt0056172/,"2012-03-14 22:10:06",no,no,no,no
8,0,"Schindler's List",1993,http://www.icheckmovies.com/movies/schindlers+list/,90865,8333,285,36,1593,,http://www.imdb.com/title/tt0108052/,"2012-03-14 22:10:26",yes,no,no,no
9,0,Vertigo,1958,http://www.icheckmovies.com/movies/vertigo/,46082,5042,212,42,1822,,http://www.imdb.com/title/tt0052357/,"2012-03-14 22:10:09",yes,no,no,no
10,0,"The Wizard of Oz",1939,http://www.icheckmovies.com/movies/the+wizard+of+oz/,91295,3945,372,37,1462,,http://www.imdb.com/title/tt0032138/,"2012-03-14 22:10:27",yes,no,no,no
