rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Union Pacific",1939,http://www.icheckmovies.com/movies/union+pacific/,602,20,6,2,183,,http://www.imdb.com/title/tt0032080/,no,no,no,no,no
2,0,"Muzi bez krídel",1946,http://www.icheckmovies.com/movies/muzi+bez+kridel/,93,2,2,1,35,"Men Without Wings",http://www.imdb.com/title/tt0038760/,no,no,no,no,no
3,0,"María Candelaria (Xochimilco)",1944,http://www.icheckmovies.com/movies/maria+candelaria+xochimilco/,313,15,1,4,108,"Portrait of Maria",http://www.imdb.com/title/tt0037054/,no,no,no,no,no
4,0,Hets,1944,http://www.icheckmovies.com/movies/hets/,758,43,8,5,176,Torment,http://www.imdb.com/title/tt0036914/,no,no,no,no,no
5,0,"The Lost Weekend",1945,http://www.icheckmovies.com/movies/the+lost+weekend/,6395,585,37,18,627,,http://www.imdb.com/title/tt0037884/,"2012-06-14 15:29:58",no,no,no,no
6,0,"De røde enge",1945,http://www.icheckmovies.com/movies/de+rode+enge/,169,6,1,2,80,"Red Meadows",http://www.imdb.com/title/tt0038043/,no,no,no,no,no
7,0,"Brief Encounter",1945,http://www.icheckmovies.com/movies/brief+encounter/,8581,1046,58,22,858,,http://www.imdb.com/title/tt0037558/,"2012-06-04 04:02:59",yes,no,no,no
8,0,"Roma città aperta",1945,http://www.icheckmovies.com/movies/roma+citta+aperta/,6313,583,39,24,769,"Rome, Open City",http://www.imdb.com/title/tt0038890/,"2012-06-07 05:12:09",no,no,no,no
9,0,"Velikiy perelom",1945,http://www.icheckmovies.com/movies/velikiy+perelom/,100,0,3,1,33,"The Turning Point",http://www.imdb.com/title/tt0037426/,no,no,no,no,no
10,0,"Die letzte Chance",1945,http://www.icheckmovies.com/movies/die+letzte+chance/,159,2,3,3,72,"The Last Chance",http://www.imdb.com/title/tt0037871/,no,no,no,no,no
11,0,"Neecha Nagar",1946,http://www.icheckmovies.com/movies/neecha+nagar/,113,5,1,1,50,,http://www.imdb.com/title/tt0154942/,no,no,no,no,no
12,0,"La symphonie pastorale",1946,http://www.icheckmovies.com/movies/la+symphonie+pastorale/,171,4,2,1,77,"Pastoral Symphony",http://www.imdb.com/title/tt0039004/,no,no,no,no,no
13,0,"The Third Man",1949,http://www.icheckmovies.com/movies/the+third+man/,22009,2698,101,37,1436,,http://www.imdb.com/title/tt0041959/,"2012-03-14 22:10:27",yes,no,no,no
14,0,"Fröken Julie",1951,http://www.icheckmovies.com/movies/froken+julie/,777,51,4,8,214,"Miss Julie",http://www.imdb.com/title/tt0043567/,no,no,no,no,no
15,0,"Miracolo a Milano",1951,http://www.icheckmovies.com/movies/miracolo+a+milano/,1485,136,11,8,323,"Miracle in Milan",http://www.imdb.com/title/tt0043809/,"2012-03-14 22:10:22",no,no,no,no
16,0,"The Tragedy of Othello: The Moor of Venice",1951,http://www.icheckmovies.com/movies/the+tragedy+of+othello+the+moor+of+venice/,1713,111,14,6,298,Othello,http://www.imdb.com/title/tt0045251/,no,no,no,no,no
17,0,"Due soldi di speranza",1952,http://www.icheckmovies.com/movies/due+soldi+di+speranza/,275,12,4,5,151,"Two Cents Worth of Hope",http://www.imdb.com/title/tt0044572/,no,no,no,no,no
18,0,"Le salaire de la peur",1953,http://www.icheckmovies.com/movies/le+salaire+de+la+peur/,8116,1320,56,28,972,"The Wages of Fear",http://www.imdb.com/title/tt0046268/,"2012-03-14 22:10:06",yes,no,no,no
19,0,Jigokumon,1953,http://www.icheckmovies.com/movies/jigokumon/,1218,58,8,9,236,"Gate of Hell",http://www.imdb.com/title/tt0045935/,no,no,no,no,no
20,0,Marty,1955,http://www.icheckmovies.com/movies/marty/,4459,307,28,10,426,,http://www.imdb.com/title/tt0048356/,no,no,no,no,no
21,0,"Le monde du silence",1956,http://www.icheckmovies.com/movies/le+monde+du+silence/,470,14,6,3,93,"The Silent World",http://www.imdb.com/title/tt0049518/,no,no,no,no,no
22,0,"Friendly Persuasion",1956,http://www.icheckmovies.com/movies/friendly+persuasion/,858,43,13,3,199,,http://www.imdb.com/title/tt0049233/,no,no,no,no,no
23,0,"Letyat zhuravli",1957,http://www.icheckmovies.com/movies/letyat+zhuravli/,3778,668,23,17,632,"The Cranes Are Flying",http://www.imdb.com/title/tt0050634/,"2012-03-14 22:10:23",yes,no,no,no
24,0,"Orfeu Negro",1959,http://www.icheckmovies.com/movies/orfeu+negro/,3190,227,24,8,405,"Black Orpheus",http://www.imdb.com/title/tt0053146/,"2012-07-04 22:07:16",yes,no,no,no
25,0,"La dolce vita",1960,http://www.icheckmovies.com/movies/la+dolce+vita/,13719,1389,139,22,1032,"La Dolce Vita",http://www.imdb.com/title/tt0053779/,"2012-03-14 22:10:25",yes,no,no,no
26,0,"Une aussi longue absence",1961,http://www.icheckmovies.com/movies/une+aussi+longue+absence/,208,5,3,3,93,"The Long Absence",http://www.imdb.com/title/tt0054426/,no,no,no,no,no
27,0,Viridiana,1961,http://www.icheckmovies.com/movies/viridiana/,5290,646,42,24,698,,http://www.imdb.com/title/tt0055601/,"2012-03-14 22:10:10",no,no,no,no
28,0,"O Pagador de Promessas",1962,http://www.icheckmovies.com/movies/o+pagador+de+promessas/,980,148,6,9,289,"The Given Word",http://www.imdb.com/title/tt0056322/,no,no,no,yes,no
