rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"The Godfather",1972,http://www.icheckmovies.com/movies/the+godfather/,99342,13405,453,43,2155,,http://www.imdb.com/title/tt0068646/,"2012-03-14 22:10:07",yes,no,no,no
2,0,"Raiders of the Lost Ark",1981,http://www.icheckmovies.com/movies/raiders+of+the+lost+ark/,95275,7135,270,30,1521,,http://www.imdb.com/title/tt0082971/,"2012-03-14 22:10:27",yes,no,no,no
3,0,"Star Wars: Episode V - The Empire Strikes Back",1980,http://www.icheckmovies.com/movies/star+wars+episode+v+-+the+empire+strikes+back/,115208,10221,466,26,1652,,http://www.imdb.com/title/tt0080684/,"2012-03-14 22:10:26",yes,no,no,no
4,0,"The Shawshank Redemption",1994,http://www.icheckmovies.com/movies/the+shawshank+redemption/,114297,17276,402,24,1572,,http://www.imdb.com/title/tt0111161/,"2012-03-14 22:10:26",yes,no,no,no
5,0,Jaws,1975,http://www.icheckmovies.com/movies/jaws/,91291,4141,417,29,1616,,http://www.imdb.com/title/tt0073195/,"2012-03-14 22:10:27",no,no,no,no
6,0,Goodfellas,1990,http://www.icheckmovies.com/movies/goodfellas/,77107,8594,218,32,1707,,http://www.imdb.com/title/tt0099685/,"2012-03-14 22:10:18",yes,no,no,no
7,0,"Apocalypse Now",1979,http://www.icheckmovies.com/movies/apocalypse+now/,65187,6765,369,37,1860,,http://www.imdb.com/title/tt0078788/,"2012-03-14 22:10:07",yes,no,no,no
8,0,"Singin' in the Rain",1952,http://www.icheckmovies.com/movies/singin+in+the+rain/,42960,4194,171,37,1562,,http://www.imdb.com/title/tt0045152/,"2012-03-14 22:10:27",yes,no,no,no
9,0,"Pulp Fiction",1994,http://www.icheckmovies.com/movies/pulp+fiction/,127949,20326,654,39,2273,,http://www.imdb.com/title/tt0110912/,"2012-03-14 22:10:26",yes,no,no,no
10,0,"Fight Club",1999,http://www.icheckmovies.com/movies/fight+club/,132955,21467,628,21,1781,,http://www.imdb.com/title/tt0137523/,"2012-03-14 22:10:26",yes,no,no,no
11,0,"Raging Bull",1980,http://www.icheckmovies.com/movies/raging+bull/,36559,3114,250,35,1375,,http://www.imdb.com/title/tt0081398/,"2012-03-14 22:10:09",yes,no,no,no
12,0,"The Apartment",1960,http://www.icheckmovies.com/movies/the+apartment/,22329,2965,84,29,1276,,http://www.imdb.com/title/tt0053604/,"2012-03-14 22:10:06",yes,no,no,no
