rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,Seppuku,1962,http://www.icheckmovies.com/movies/seppuku/,6134,1453,30,16,724,Harakiri,http://www.imdb.com/title/tt0056058/,"2012-03-14 22:10:05",yes,no,no,no
2,0,"Le trou",1960,http://www.icheckmovies.com/movies/le+trou/,3922,930,17,15,635,"Le Trou",http://www.imdb.com/title/tt0054407/,"2012-07-06 02:02:41",yes,no,no,no
3,0,"Suna no onna",1964,http://www.icheckmovies.com/movies/suna+no+onna/,4384,968,24,23,821,"Woman in the Dunes",http://www.imdb.com/title/tt0058625/,"2012-06-05 07:23:52",yes,no,no,no
4,0,"Ningen no jôken",1961,http://www.icheckmovies.com/movies/ningen+no+joken-1961/,1712,383,12,12,418,"The Human Condition III: A Soldier's Prayer",http://www.imdb.com/title/tt0055233/,no,no,no,no,no
5,0,"Happy End",1967,http://www.icheckmovies.com/movies/happy+end/,509,121,8,3,204,,http://www.imdb.com/title/tt0061029/,no,no,no,yes,no
6,0,"Ai no mukidashi",2008,http://www.icheckmovies.com/movies/ai+no+mukidashi/,1708,379,45,3,379,"Love Exposure",http://www.imdb.com/title/tt1128075/,"2017-02-01 02:14:54",yes,no,no,no
7,0,"Un homme qui dort",1974,http://www.icheckmovies.com/movies/un+homme+qui+dort/,948,213,21,3,285,"The Man Who Sleeps",http://www.imdb.com/title/tt0192718/,no,no,no,no,no
8,0,"Kimssi pyoryugi",2009,http://www.icheckmovies.com/movies/kimssi+pyoryugi/,1932,421,10,4,205,"Castaway on the Moon",http://www.imdb.com/title/tt1499666/,"2012-03-14 22:10:13",yes,no,no,no
9,0,"Idi i smotri",1985,http://www.icheckmovies.com/movies/idi+i+smotri/,7168,1526,70,28,966,"Come and See",http://www.imdb.com/title/tt0091251/,"2012-05-10 08:28:50",yes,no,no,no
10,0,"Doro no kawa",1981,http://www.icheckmovies.com/movies/doro+no+kawa/,477,104,4,6,287,"Muddy River",http://www.imdb.com/title/tt0082280/,no,no,no,no,no
11,0,"Ningen no jôken",1959,http://www.icheckmovies.com/movies/ningen+no+joken/,2107,420,16,12,479,"The Human Condition I: No Greater Love",http://www.imdb.com/title/tt0053114/,no,no,no,no,no
12,0,"Kocár do Vídne",1966,http://www.icheckmovies.com/movies/kocar+do+vidne/,503,107,4,4,249,"Carriage to Vienna",http://www.imdb.com/title/tt0060597/,no,no,no,no,no
