rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Sen to Chihiro no kamikakushi",2001,http://www.icheckmovies.com/movies/sen+to+chihiro+no+kamikakushi/,67639,9671,277,39,1744,"Spirited Away",http://www.imdb.com/title/tt0245429/,"2012-03-14 22:10:27",yes,no,no,no
2,0,"Spider-Man: Across the Spider-Verse",2023,http://www.icheckmovies.com/movies/spider-man+across+the+spider-verse/,5343,526,39,11,262,,http://www.imdb.com/title/tt9362722/,"2023-08-24 11:32:37",yes,no,no,no
3,0,"The Lion King",1994,http://www.icheckmovies.com/movies/the+lion+king/,141793,9247,325,24,1182,,http://www.imdb.com/title/tt0110357/,"2012-03-14 22:10:26",no,no,no,no
4,0,"Hotaru no haka",1988,http://www.icheckmovies.com/movies/hotaru+no+haka/,26079,3392,158,21,1014,"Grave of the Fireflies",http://www.imdb.com/title/tt0095327/,"2012-03-14 22:10:28",yes,no,no,no
5,0,"Flåklypa Grand Prix",1975,http://www.icheckmovies.com/movies/flaklypa+grand+prix/,5455,400,39,6,230,"The Pinchcliffe Grand Prix",http://www.imdb.com/title/tt0073000/,"2012-03-14 22:10:22",no,no,no,no
6,0,"Spider-Man: Into the Spider-Verse",2018,http://www.icheckmovies.com/movies/spider-man+into+the+spider-verse/,14891,1756,48,20,620,,http://www.imdb.com/title/tt4633694/,"2019-01-15 01:48:20",yes,no,no,no
7,0,"Kimi no na wa.",2016,http://www.icheckmovies.com/movies/kimi+no+na+wa./,8934,1243,54,13,520,"Your Name.",http://www.imdb.com/title/tt5311514/,"2017-09-04 02:29:33",yes,no,no,no
8,0,WALL·E,2008,http://www.icheckmovies.com/movies/walle/,122694,10385,597,27,1308,,http://www.imdb.com/title/tt0910970/,"2012-03-14 22:10:26",no,no,no,no
9,0,Coco,2017,http://www.icheckmovies.com/movies/coco-2017/,16191,1531,57,14,560,,http://www.imdb.com/title/tt2380307/,"2017-12-11 21:35:49",yes,no,no,no
10,0,"Toy Story",1995,http://www.icheckmovies.com/movies/toy+story/,141389,8072,277,26,1364,,http://www.imdb.com/title/tt0114709/,"2012-03-14 22:10:27",yes,no,no,no
11,0,Up,2009,http://www.icheckmovies.com/movies/up/,121830,9692,422,17,1041,,http://www.imdb.com/title/tt1049413/,"2012-03-14 22:10:26",yes,no,no,no
