rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,Inception,2010,http://www.icheckmovies.com/movies/inception/,135035,16820,947,22,1673,,http://www.imdb.com/title/tt1375666/,"2012-03-14 22:10:26",yes,no,no,no
2,0,Interstellar,2014,http://www.icheckmovies.com/movies/interstellar/,42791,4914,387,14,1041,,http://www.imdb.com/title/tt0816692/,"2015-01-22 03:20:28",yes,no,no,no
3,0,"The Matrix",1999,http://www.icheckmovies.com/movies/the+matrix/,138176,13358,759,31,1773,,http://www.imdb.com/title/tt0133093/,"2012-03-14 22:10:26",yes,no,no,no
4,0,"Star Wars: Episode V - The Empire Strikes Back",1980,http://www.icheckmovies.com/movies/star+wars+episode+v+-+the+empire+strikes+back/,115208,10221,466,26,1652,,http://www.imdb.com/title/tt0080684/,"2012-03-14 22:10:26",yes,no,no,no
5,0,"Terminator 2: Judgment Day",1991,http://www.icheckmovies.com/movies/terminator+2+judgment+day/,94263,6817,329,27,1384,,http://www.imdb.com/title/tt0103064/,"2012-03-14 22:10:27",yes,no,no,no
6,0,"Star Wars",1977,http://www.icheckmovies.com/movies/star+wars/,120825,10263,490,41,1863,,http://www.imdb.com/title/tt0076759/,"2012-03-14 22:10:26",yes,no,no,no
7,0,"The Prestige",2006,http://www.icheckmovies.com/movies/the+prestige/,91175,9281,414,15,1049,,http://www.imdb.com/title/tt0482571/,"2012-03-14 22:10:26",no,no,no,no
8,0,"Back to the Future",1985,http://www.icheckmovies.com/movies/back+to+the+future/,126802,11223,299,25,1590,,http://www.imdb.com/title/tt0088763/,"2012-03-14 22:10:26",no,no,no,no
9,0,"Spider-Man: Across the Spider-Verse",2023,http://www.icheckmovies.com/movies/spider-man+across+the+spider-verse/,5343,526,39,11,262,,http://www.imdb.com/title/tt9362722/,"2023-08-24 11:32:37",yes,no,no,no
10,0,Alien,1979,http://www.icheckmovies.com/movies/alien/,85330,7531,273,30,1859,,http://www.imdb.com/title/tt0078748/,"2012-03-14 22:10:26",yes,no,no,no
11,0,"Dune: Part Two",2024,http://www.icheckmovies.com/movies/dune+part+two/,5729,549,31,8,247,,http://www.imdb.com/title/tt15239678/,"2024-04-20 19:01:03",no,no,no,no
12,0,"Avengers: Endgame",2019,http://www.icheckmovies.com/movies/avengers+endgame/,15367,1015,154,7,507,,http://www.imdb.com/title/tt4154796/,"2019-08-10 18:17:05",no,no,no,no
13,0,"Spider-Man: Into the Spider-Verse",2018,http://www.icheckmovies.com/movies/spider-man+into+the+spider-verse/,14891,1756,48,20,620,,http://www.imdb.com/title/tt4633694/,"2019-01-15 01:48:20",yes,no,no,no
14,0,"Avengers: Infinity War",2018,http://www.icheckmovies.com/movies/avengers+infinity+war/,18730,1278,154,8,518,,http://www.imdb.com/title/tt4154756/,"2018-08-03 07:15:35",no,no,no,no
15,0,WALL·E,2008,http://www.icheckmovies.com/movies/walle/,122694,10385,597,27,1308,,http://www.imdb.com/title/tt0910970/,"2012-03-14 22:10:26",no,no,no,no
16,0,Aliens,1986,http://www.icheckmovies.com/movies/aliens/,67860,4857,271,26,1329,,http://www.imdb.com/title/tt0090605/,"2012-03-14 22:10:27",yes,no,no,no
17,0,"Eternal Sunshine of the Spotless Mind",2004,http://www.icheckmovies.com/movies/eternal+sunshine+of+the+spotless+mind/,99927,13998,823,29,1602,,http://www.imdb.com/title/tt0338013/,"2012-03-14 22:10:27",yes,no,no,no
18,0,"2001: A Space Odyssey",1968,http://www.icheckmovies.com/movies/2001+a+space+odyssey/,70652,8233,910,44,2145,,http://www.imdb.com/title/tt0062622/,"2012-03-14 22:10:27",yes,no,no,no
19,0,"Star Wars: Episode VI - Return of the Jedi",1983,http://www.icheckmovies.com/movies/star+wars+episode+vi+-+return+of+the+jedi/,105621,6455,401,18,1182,,http://www.imdb.com/title/tt0086190/,"2012-03-14 22:10:27",yes,no,no,no
20,0,"Jurassic Park",1993,http://www.icheckmovies.com/movies/jurassic+park/,118906,6809,379,23,1351,,http://www.imdb.com/title/tt0107290/,"2012-03-14 22:10:26",no,no,no,no
21,0,"The Wild Robot",2024,http://www.icheckmovies.com/movies/the+wild+robot/,2315,207,12,9,127,,http://www.imdb.com/title/tt29623480/,"2024-11-21 06:10:34",no,no,no,no
22,0,"The Thing",1982,http://www.icheckmovies.com/movies/the+thing/,45633,4494,223,21,1426,,http://www.imdb.com/title/tt0084787/,"2012-03-14 22:10:27",yes,no,no,no
23,0,"A Clockwork Orange",1971,http://www.icheckmovies.com/movies/a+clockwork+orange/,88794,10252,853,37,1855,,http://www.imdb.com/title/tt0066921/,"2012-03-14 22:10:27",yes,no,no,no
24,0,Metropolis,1927,http://www.icheckmovies.com/movies/metropolis/,28635,2919,154,36,1449,,http://www.imdb.com/title/tt0017136/,"2012-03-14 22:10:27",yes,no,no,no
25,0,"Ivan Vasilevich menyaet professiyu",1973,http://www.icheckmovies.com/movies/ivan+vasilevich+menyaet+professiyu/,3151,219,68,5,134,"Ivan Vasilyevich Changes His Profession",http://www.imdb.com/title/tt0070233/,"2012-05-17 05:07:26",no,no,no,no
26,0,"Spider-Man: No Way Home",2021,http://www.icheckmovies.com/movies/spider-man+no+way+home/,8316,511,72,10,264,,http://www.imdb.com/title/tt10872600/,"2022-03-19 12:39:59",no,no,no,no
27,0,"Blade Runner",1982,http://www.icheckmovies.com/movies/blade+runner/,73535,7814,655,36,1888,,http://www.imdb.com/title/tt0083658/,"2012-03-14 22:10:26",yes,no,no,no
28,0,"The Terminator",1984,http://www.icheckmovies.com/movies/the+terminator/,94619,4437,309,26,1296,,http://www.imdb.com/title/tt0088247/,"2012-03-14 22:10:27",no,no,no,no
