rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,"Rio Bravo",1959,http://www.icheckmovies.com/movies/rio+bravo/,9598,893,47,20,858,,http://www.imdb.com/title/tt0053221/,"2012-07-30 00:41:57",no,no,no,no
2,,"Taxi Driver",1976,http://www.icheckmovies.com/movies/taxi+driver/,72450,7601,344,34,1852,,http://www.imdb.com/title/tt0075314/,"2012-03-14 22:10:26",yes,no,no,no
3,,"Blow Out",1981,http://www.icheckmovies.com/movies/blow+out/,6897,606,40,8,492,,http://www.imdb.com/title/tt0082085/,"2012-03-14 22:10:04",yes,no,no,no
4,,"One-Eyed Jacks",1961,http://www.icheckmovies.com/movies/one-eyed+jacks/,1734,64,18,10,285,,http://www.imdb.com/title/tt0055257/,no,no,no,no,no
5,,Breathless,1983,http://www.icheckmovies.com/movies/breathless/,1441,65,33,2,115,,http://www.imdb.com/title/tt0085276/,no,no,no,no,no
6,,"His Girl Friday",1940,http://www.icheckmovies.com/movies/his+girl+friday/,12204,1209,85,22,926,,http://www.imdb.com/title/tt0032599/,"2012-03-14 22:10:06",no,no,no,no
7,,"Rolling Thunder",1977,http://www.icheckmovies.com/movies/rolling+thunder/,1459,84,9,3,168,,http://www.imdb.com/title/tt0076637/,no,no,no,no,no
8,,Badlands,1973,http://www.icheckmovies.com/movies/badlands/,12552,1411,53,23,884,,http://www.imdb.com/title/tt0069762/,"2012-03-14 22:10:06",no,no,no,no
9,,"Casualties of War",1989,http://www.icheckmovies.com/movies/casualties+of+war/,2520,110,26,2,146,,http://www.imdb.com/title/tt0097027/,no,no,no,no,no
10,,"Used Cars",1980,http://www.icheckmovies.com/movies/used+cars/,1318,51,23,1,114,,http://www.imdb.com/title/tt0081698/,no,no,no,no,no
11,,"It's a Mad, Mad, Mad, Mad World",1963,http://www.icheckmovies.com/movies/its+a+mad+mad+mad+mad+world/,6145,342,75,6,360,"It's a Mad Mad Mad Mad World",http://www.imdb.com/title/tt0057193/,"2014-05-07 04:26:55",no,no,no,no
