rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Donnie Darko",2001,http://www.icheckmovies.com/movies/donnie+darko/,91800,9990,1028,21,1248,,http://www.imdb.com/title/tt0246578/,"2012-03-14 22:10:27",yes,no,no,no
2,0,"Morvern Callar",2002,http://www.icheckmovies.com/movies/morvern+callar/,2492,155,47,8,276,,http://www.imdb.com/title/tt0300214/,no,no,no,yes,no
3,0,"Irma Vep",1996,http://www.icheckmovies.com/movies/irma+vep/,1890,148,19,7,293,,http://www.imdb.com/title/tt0116650/,no,no,no,no,no
4,0,"Miami Blues",1990,http://www.icheckmovies.com/movies/miami+blues/,1238,56,16,2,125,,http://www.imdb.com/title/tt0100143/,no,no,no,no,no
5,0,"Babe: Pig in the City",1998,http://www.icheckmovies.com/movies/babe+pig+in+the+city/,15816,167,257,1,156,,http://www.imdb.com/title/tt0120595/,"2012-03-14 22:10:14",no,yes,no,no
6,0,"They Live",1988,http://www.icheckmovies.com/movies/they+live/,11363,1062,81,8,555,,http://www.imdb.com/title/tt0096256/,"2012-03-14 22:10:06",no,no,no,no
7,0,Clerks,1994,http://www.icheckmovies.com/movies/clerks-1994/,37481,3031,299,9,608,,http://www.imdb.com/title/tt0109445/,"2012-06-26 06:56:23",yes,no,no,no
8,0,Primer,2004,http://www.icheckmovies.com/movies/primer/,16867,1542,251,7,479,,http://www.imdb.com/title/tt0390384/,"2012-03-14 22:10:19",no,no,no,no
9,0,Pi,1998,http://www.icheckmovies.com/movies/pi/,22199,1798,287,6,541,,http://www.imdb.com/title/tt0138704/,"2012-03-14 22:10:24",yes,no,no,no
10,0,"The Blair Witch Project",1999,http://www.icheckmovies.com/movies/the+blair+witch+project/,52448,1561,1184,14,743,,http://www.imdb.com/title/tt0185937/,"2012-03-14 22:10:06",no,no,no,no
11,0,"Soy Cuba",1964,http://www.icheckmovies.com/movies/soy+cuba/,2517,417,17,17,504,"I Am Cuba",http://www.imdb.com/title/tt0058604/,no,no,no,yes,no
12,0,"The Rules of Attraction",2002,http://www.icheckmovies.com/movies/the+rules+of+attraction/,6254,311,128,2,171,,http://www.imdb.com/title/tt0292644/,no,no,no,no,no
13,0,"Kiss Kiss Bang Bang",2005,http://www.icheckmovies.com/movies/kiss+kiss+bang+bang/,27674,2458,168,4,511,,http://www.imdb.com/title/tt0373469/,"2012-03-14 22:10:24",yes,no,no,no
