rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Fa yeung nin wah",2000,http://www.icheckmovies.com/movies/fa+yeung+nin+wah/,15060,2571,127,28,1248,"In the Mood for Love",http://www.imdb.com/title/tt0118694/,"2012-03-14 22:10:25",yes,no,no,no
2,0,"Mulholland Dr.",2001,http://www.icheckmovies.com/movies/mulholland+dr./,40308,5084,511,26,1605,"Mulholland Drive",http://www.imdb.com/title/tt0166924/,"2012-03-14 22:10:27",yes,no,no,no
3,0,"Yi yi",2000,http://www.icheckmovies.com/movies/yi+yi/,4851,722,47,20,670,"Yi Yi: A One and a Two...",http://www.imdb.com/title/tt0244316/,"2012-07-02 03:47:47",yes,no,no,no
4,0,"Sen to Chihiro no kamikakushi",2001,http://www.icheckmovies.com/movies/sen+to+chihiro+no+kamikakushi/,67639,9671,277,39,1744,"Spirited Away",http://www.imdb.com/title/tt0245429/,"2012-03-14 22:10:27",yes,no,no,no
5,0,"There Will Be Blood",2007,http://www.icheckmovies.com/movies/there+will+be+blood/,59621,6550,547,21,1412,,http://www.imdb.com/title/tt0469494/,"2012-03-14 22:10:26",no,no,no,no
6,0,"Sud pralad",2004,http://www.icheckmovies.com/movies/sud+pralad/,1703,165,44,11,418,"Tropical Malady",http://www.imdb.com/title/tt0381668/,no,no,no,no,no
7,0,"Portrait de la jeune fille en feu",2019,http://www.icheckmovies.com/movies/portrait+de+la+jeune+fille+en+feu/,4489,713,29,10,582,"Portrait of a Lady on Fire",http://www.imdb.com/title/tt8613070/,"2020-03-25 04:12:27",yes,no,no,no
8,0,"The Tree of Life",2011,http://www.icheckmovies.com/movies/the+tree+of+life/,21873,2008,794,13,930,,http://www.imdb.com/title/tt0478304/,"2012-03-14 22:10:05",no,no,no,no
9,0,"Les glaneurs et la glaneuse",2000,http://www.icheckmovies.com/movies/les+glaneurs+et+la+glaneuse/,2614,261,16,13,446,"The Gleaners & I",http://www.imdb.com/title/tt0247380/,"2025-10-05 00:43:35",no,no,no,no
10,0,Moonlight,2016,http://www.icheckmovies.com/movies/moonlight-2016/,13052,1140,119,12,758,,http://www.imdb.com/title/tt4975722/,"2017-02-26 22:02:36",no,no,no,no
11,0,Gisaengchung,2019,http://www.icheckmovies.com/movies/gisaengchung/,14241,2297,40,23,815,Parasite,http://www.imdb.com/title/tt6751668/,"2019-12-29 02:59:23",no,no,no,no
12,1,"Eternal Sunshine of the Spotless Mind",2004,http://www.icheckmovies.com/movies/eternal+sunshine+of+the+spotless+mind/,99927,13998,823,29,1602,,http://www.imdb.com/title/tt0338013/,"2012-03-14 22:10:27",yes,no,no,no
13,-1,Caché,2005,http://www.icheckmovies.com/movies/cache/,10265,1035,138,15,692,,http://www.imdb.com/title/tt0387898/,"2012-03-14 22:10:19",no,no,no,no
14,0,"Loong Boonmee raleuk chat",2010,http://www.icheckmovies.com/movies/loong+boonmee+raleuk+chat/,3533,266,104,12,493,"Uncle Boonmee Who Can Recall His Past Lives",http://www.imdb.com/title/tt1588895/,"2012-06-01 19:57:38",no,no,no,no
15,0,"La Ciénaga",2001,http://www.icheckmovies.com/movies/la+cienaga/,1528,128,31,8,300,"The Swamp",http://www.imdb.com/title/tt0240419/,"2012-03-14 22:10:14",no,no,no,no
16,0,"Bu san",2003,http://www.icheckmovies.com/movies/bu+san/,1463,134,41,6,332,"Goodbye, Dragon Inn",http://www.imdb.com/title/tt0377556/,"2012-03-14 22:10:23",yes,no,no,no
17,0,"Jodaeiye Nader az Simin",2011,http://www.icheckmovies.com/movies/jodaeiye+nader+az+simin/,11589,1782,76,16,904,"A Separation",http://www.imdb.com/title/tt1832382/,"2012-03-14 22:10:04",yes,no,no,no
18,2,"Cidade de Deus",2002,http://www.icheckmovies.com/movies/cidade+de+deus/,53944,6984,211,22,1276,"City of God",http://www.imdb.com/title/tt0317248/,"2012-03-14 22:10:27",yes,no,no,no
19,2,"Mad Max: Fury Road",2015,http://www.icheckmovies.com/movies/mad+max+fury+road/,33861,4011,322,23,1174,,http://www.imdb.com/title/tt1392190/,"2015-07-07 21:03:15",yes,no,no,no
20,-1,"Werckmeister harmóniák",2000,http://www.icheckmovies.com/movies/werckmeister+harmoniak/,3187,558,61,12,578,"Werckmeister Harmonies",http://www.imdb.com/title/tt0249241/,"2019-12-25 06:26:19",yes,no,no,no
21,-3,Melancholia,2011,http://www.icheckmovies.com/movies/melancholia-2011/,17808,1837,374,10,735,,http://www.imdb.com/title/tt1527186/,"2012-03-14 22:10:04",no,no,no,no
22,0,"Get Out",2017,http://www.icheckmovies.com/movies/get+out-2017/,18147,1836,112,16,842,,http://www.imdb.com/title/tt5052448/,"2017-06-28 22:02:17",yes,no,no,no
23,0,"Tiexi qu",2002,http://www.icheckmovies.com/movies/tiexi+qu/,451,44,13,7,302,"Tie Xi Qu: West of the Tracks",http://www.imdb.com/title/tt0389448/,no,no,no,no,no
24,1,"A torinói ló",2011,http://www.icheckmovies.com/movies/a+torinoi+lo/,2224,368,45,8,510,"The Turin Horse",http://www.imdb.com/title/tt1316540/,no,no,no,no,no
25,2,"Das weiße Band - Eine deutsche Kindergeschichte",2009,http://www.icheckmovies.com/movies/das+weisse+band+-+eine+deutsche+kindergeschichte/,8817,1032,84,10,658,"The White Ribbon",http://www.imdb.com/title/tt1149362/,"2012-03-14 22:10:09",no,no,no,no
26,-2,"Under the Skin",2013,http://www.icheckmovies.com/movies/under+the+skin-2013/,9526,824,246,10,758,,http://www.imdb.com/title/tt1441395/,"2014-08-04 19:35:50",no,no,no,no
27,-1,"Lost in Translation",2003,http://www.icheckmovies.com/movies/lost+in+translation/,57104,5923,819,19,1157,,http://www.imdb.com/title/tt0335266/,"2012-03-14 22:10:27",yes,no,no,no
28,3,"Toni Erdmann",2016,http://www.icheckmovies.com/movies/toni+erdmann/,3709,403,62,13,521,,http://www.imdb.com/title/tt4048272/,"2017-06-18 18:05:15",no,no,no,no
29,-1,Dogville,2003,http://www.icheckmovies.com/movies/dogville/,15377,2202,268,15,781,,http://www.imdb.com/title/tt0276919/,"2012-07-31 07:54:13",yes,no,no,no
30,0,"Holy Motors",2012,http://www.icheckmovies.com/movies/holy+motors/,6100,785,138,12,616,,http://www.imdb.com/title/tt2076220/,"2014-04-21 17:12:54",yes,no,no,no
31,-2,"La mujer sin cabeza",2008,http://www.icheckmovies.com/movies/la+mujer+sin+cabeza/,1428,74,43,8,279,"The Headless Woman",http://www.imdb.com/title/tt1221141/,"2013-04-22 07:58:53",no,no,no,no
32,10,"No Country for Old Men",2007,http://www.icheckmovies.com/movies/no+country+for+old+men/,83080,7950,720,25,1490,,http://www.imdb.com/title/tt0477348/,"2012-03-14 22:10:26",yes,no,no,no
33,1,"Phantom Thread",2017,http://www.icheckmovies.com/movies/phantom+thread/,6935,604,78,8,532,,http://www.imdb.com/title/tt5776858/,"2018-04-21 06:30:01",yes,no,no,no
34,-2,"The Act of Killing",2012,http://www.icheckmovies.com/movies/the+act+of+killing/,6165,779,30,9,620,,http://www.imdb.com/title/tt2375605/,"2014-01-26 21:40:59",no,no,no,no
35,4,"A.I. Artificial Intelligence",2001,http://www.icheckmovies.com/movies/a.i.+artificial+intelligence-2001/,51708,2207,753,11,658,,http://www.imdb.com/title/tt0212720/,"2012-03-14 22:10:04",no,no,no,no
36,-1,"El laberinto del fauno",2006,http://www.icheckmovies.com/movies/el+laberinto+del+fauno/,74831,8360,528,34,1488,"Pan's Labyrinth",http://www.imdb.com/title/tt0457430/,"2012-03-14 22:10:27",yes,no,no,no
37,-1,"Sang sattawat",2006,http://www.icheckmovies.com/movies/sang+sattawat/,1440,166,13,7,334,"Syndromes and a Century",http://www.imdb.com/title/tt0477731/,no,no,no,no,no
38,-5,Zama,2017,http://www.icheckmovies.com/movies/zama-2017/,954,59,13,8,239,,http://www.imdb.com/title/tt3409848/,"2018-12-05 19:36:10",yes,no,no,no
39,-1,Boyhood,2014,http://www.icheckmovies.com/movies/boyhood/,21702,2312,320,15,880,,http://www.imdb.com/title/tt1065073/,"2015-01-06 00:55:36",yes,no,no,no
40,-3,"Hable con ella",2002,http://www.icheckmovies.com/movies/hable+con+ella/,12394,1304,74,12,682,"Talk to Her",http://www.imdb.com/title/tt0287467/,"2012-03-14 22:10:17",no,no,no,no
41,2,"Bir Zamanlar Anadolu'da",2011,http://www.icheckmovies.com/movies/bir+zamanlar+anadoluda/,3344,472,33,8,481,"Once Upon a Time in Anatolia",http://www.imdb.com/title/tt1827487/,"2014-01-09 04:26:36",no,no,no,no
42,-2,Elephant,2003,http://www.icheckmovies.com/movies/elephant/,16546,1217,242,10,536,,http://www.imdb.com/title/tt0363589/,"2012-03-14 22:10:19",yes,no,no,no
43,2,"Sånger från andra våningen",2000,http://www.icheckmovies.com/movies/sanger+fran+andra+vaningen/,3374,437,49,15,452,"Songs from the Second Floor",http://www.imdb.com/title/tt0120263/,"2015-02-14 03:06:23",yes,no,no,no
44,-3,"Moartea domnului Lazarescu",2005,http://www.icheckmovies.com/movies/moartea+domnului+lazarescu/,2109,215,18,9,361,"The Death of Mr. Lazarescu",http://www.imdb.com/title/tt0456149/,"2017-10-02 06:37:49",no,no,no,no
45,8,"Children of Men",2006,http://www.icheckmovies.com/movies/children+of+men/,62826,6150,496,14,1090,,http://www.imdb.com/title/tt0206634/,"2012-03-14 22:10:27",no,no,no,no
46,0,Zhantai,2000,http://www.icheckmovies.com/movies/zhantai/,960,75,14,11,304,Platform,http://www.imdb.com/title/tt0258885/,"2017-06-18 18:05:48",no,no,no,no
47,-3,"No Quarto da Vanda",2000,http://www.icheckmovies.com/movies/no+quarto+da+vanda/,640,43,21,6,261,"In Vanda's Room",http://www.imdb.com/title/tt0139500/,no,no,no,yes,no
48,6,Oldeuboi,2003,http://www.icheckmovies.com/movies/oldeuboi/,46299,6639,340,34,1371,Oldboy,http://www.imdb.com/title/tt0364569/,"2012-03-14 22:10:26",yes,no,no,no
49,6,"Punch-Drunk Love",2002,http://www.icheckmovies.com/movies/punch-drunk+love/,23756,1870,394,12,643,,http://www.imdb.com/title/tt0272338/,"2012-03-14 22:10:17",no,no,no,no
50,-3,"Inland Empire",2006,http://www.icheckmovies.com/movies/inland+empire/,7467,695,254,10,605,,http://www.imdb.com/title/tt0460829/,"2012-03-14 22:10:25",no,no,no,no
51,1,"Das Leben der Anderen",2006,http://www.icheckmovies.com/movies/das+leben+der+anderen/,31101,4023,123,21,979,"The Lives of Others",http://www.imdb.com/title/tt0405094/,"2012-03-14 22:10:26",no,no,no,no
52,-2,"The Master",2012,http://www.icheckmovies.com/movies/the+master-2012/,14706,1185,211,7,709,,http://www.imdb.com/title/tt1560747/,"2013-03-06 15:52:05",yes,no,no,no
53,-5,"Twin Peaks",2017,http://www.icheckmovies.com/movies/twin+peaks-2017/,1998,317,9,4,157,,http://www.imdb.com/title/tt4093826/,no,no,no,no,no
54,4,"Salinui chueok",2003,http://www.icheckmovies.com/movies/salinui+chueok/,9967,1572,51,19,736,"Memories of Murder",http://www.imdb.com/title/tt0353969/,"2012-03-14 22:10:25",no,no,no,no
55,4,"Wo hu cang long",2000,http://www.icheckmovies.com/movies/wo+hu+cang+long/,36997,2214,243,28,1028,"Crouching Tiger, Hidden Dragon",http://www.imdb.com/title/tt0190332/,"2012-03-14 22:10:27",no,no,no,no
56,-5,"Brokeback Mountain",2005,http://www.icheckmovies.com/movies/brokeback+mountain/,45757,2825,425,21,964,,http://www.imdb.com/title/tt0388795/,"2012-03-14 22:10:05",no,no,no,no
57,3,Zodiac,2007,http://www.icheckmovies.com/movies/zodiac/,46536,3111,349,13,863,,http://www.imdb.com/title/tt0443706/,"2012-03-14 22:10:04",no,no,no,no
58,-9,WALL·E,2008,http://www.icheckmovies.com/movies/walle/,122694,10385,597,27,1308,,http://www.imdb.com/title/tt0910970/,"2012-03-14 22:10:26",no,no,no,no
59,2,"Morvern Callar",2002,http://www.icheckmovies.com/movies/morvern+callar/,2492,155,47,8,276,,http://www.imdb.com/title/tt0300214/,no,no,no,yes,no
60,7,Amour,2012,http://www.icheckmovies.com/movies/amour-2012/,10147,1027,87,15,824,,http://www.imdb.com/title/tt1602620/,"2013-08-30 06:57:47",no,no,no,no
