rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"The Exorcist",1973,http://www.icheckmovies.com/movies/the+exorcist/,69646,3400,489,28,1329,,http://www.imdb.com/title/tt0070047/,"2012-03-14 22:10:27",no,no,no,no
2,0,"The Shining",1980,http://www.icheckmovies.com/movies/the+shining/,99655,9871,438,28,1903,,http://www.imdb.com/title/tt0081505/,"2012-03-14 22:10:26",yes,no,no,no
3,1,"The Texas Chain Saw Massacre",1974,http://www.icheckmovies.com/movies/the+texas+chain+saw+massacre/,26359,1402,206,16,917,,http://www.imdb.com/title/tt0072271/,"2012-07-03 05:18:54",no,no,no,no
4,-1,Psycho,1960,http://www.icheckmovies.com/movies/psycho/,73577,6712,144,40,2091,,http://www.imdb.com/title/tt0054215/,"2012-03-14 22:10:26",yes,no,no,no
5,1,Halloween,1978,http://www.icheckmovies.com/movies/halloween/,38661,1930,203,18,1063,,http://www.imdb.com/title/tt0077651/,"2012-03-14 22:10:04",no,no,no,no
6,-1,Alien,1979,http://www.icheckmovies.com/movies/alien/,85330,7531,273,30,1859,,http://www.imdb.com/title/tt0078748/,"2012-03-14 22:10:26",yes,no,no,no
7,0,"The Thing",1982,http://www.icheckmovies.com/movies/the+thing/,45633,4494,223,21,1426,,http://www.imdb.com/title/tt0084787/,"2012-03-14 22:10:27",yes,no,no,no
8,4,"Rosemary's Baby",1968,http://www.icheckmovies.com/movies/rosemarys+baby/,35650,3033,206,21,1235,,http://www.imdb.com/title/tt0063522/,"2012-03-14 22:10:06",yes,no,no,no
9,-1,"Night of the Living Dead",1968,http://www.icheckmovies.com/movies/night+of+the+living+dead/,28431,1717,107,21,1052,,http://www.imdb.com/title/tt0063350/,"2012-03-14 22:10:06",no,no,no,no
10,-1,Jaws,1975,http://www.icheckmovies.com/movies/jaws/,91291,4141,417,29,1616,,http://www.imdb.com/title/tt0073195/,"2012-03-14 22:10:27",no,no,no,no
11,2,"A Nightmare on Elm Street",1984,http://www.icheckmovies.com/movies/a+nightmare+on+elm+street/,35221,1481,164,9,767,,http://www.imdb.com/title/tt0087800/,no,no,no,no,no
12,2,Suspiria,1977,http://www.icheckmovies.com/movies/suspiria/,11845,1240,151,17,921,,http://www.imdb.com/title/tt0076786/,"2012-07-18 20:13:35",no,no,no,no
13,2,"Dawn of the Dead",1978,http://www.icheckmovies.com/movies/dawn+of+the+dead/,30334,1718,156,15,898,,http://www.imdb.com/title/tt0077402/,"2012-03-14 22:10:04",yes,no,no,no
14,7,"The Blair Witch Project",1999,http://www.icheckmovies.com/movies/the+blair+witch+project/,52448,1561,1184,14,743,,http://www.imdb.com/title/tt0185937/,"2012-03-14 22:10:06",no,no,no,no
15,4,Carrie,1976,http://www.icheckmovies.com/movies/carrie/,33321,1516,175,11,897,,http://www.imdb.com/title/tt0074285/,"2012-03-14 22:10:11",yes,no,no,no
16,-6,"Nosferatu, eine Symphonie des Grauens",1922,http://www.icheckmovies.com/movies/nosferatu+eine+symphonie+des+grauens/,22875,1466,127,27,1184,Nosferatu,http://www.imdb.com/title/tt0013442/,"2012-05-06 19:32:41",no,no,no,no
17,-6,"The Bride of Frankenstein",1935,http://www.icheckmovies.com/movies/the+bride+of+frankenstein-1935/,12668,779,63,19,939,"Bride of Frankenstein",http://www.imdb.com/title/tt0026138/,"2012-03-14 22:10:04",no,no,no,no
18,-2,"The Silence of the Lambs",1991,http://www.icheckmovies.com/movies/the+silence+of+the+lambs/,109260,10017,273,38,1774,,http://www.imdb.com/title/tt0102926/,"2012-03-14 22:10:26",no,no,no,no
19,4,"The Evil Dead",1981,http://www.icheckmovies.com/movies/the+evil+dead/,27146,1769,212,8,779,,http://www.imdb.com/title/tt0083907/,"2012-03-14 22:10:21",yes,no,no,no
20,8,"An American Werewolf in London",1981,http://www.icheckmovies.com/movies/an+american+werewolf+in+london/,19766,1118,110,12,715,,http://www.imdb.com/title/tt0082010/,"2012-07-09 07:05:09",no,no,no,no
21,18,"Don't Look Now",1973,http://www.icheckmovies.com/movies/dont+look+now/,9446,796,127,17,844,,http://www.imdb.com/title/tt0069995/,"2012-03-14 22:10:06",no,no,no,no
22,2,"The Haunting",1963,http://www.icheckmovies.com/movies/the+haunting/,8708,484,50,6,555,,http://www.imdb.com/title/tt0057129/,"2015-02-07 18:44:21",no,no,no,no
23,8,Poltergeist,1982,http://www.icheckmovies.com/movies/poltergeist/,27275,987,171,9,600,,http://www.imdb.com/title/tt0084516/,"2017-05-22 04:58:14",no,no,no,no
24,-7,Frankenstein,1931,http://www.icheckmovies.com/movies/frankenstein/,20237,842,80,19,957,,http://www.imdb.com/title/tt0021884/,"2012-03-14 22:10:06",no,no,no,no
25,-3,"The Fly",1986,http://www.icheckmovies.com/movies/the+fly/,27722,1686,118,11,900,,http://www.imdb.com/title/tt0091064/,"2012-03-14 22:10:05",no,no,no,no
26,-1,"Evil Dead II",1987,http://www.icheckmovies.com/movies/evil+dead+ii/,23985,2026,192,9,739,,http://www.imdb.com/title/tt0092991/,"2012-03-14 22:10:06",no,no,no,no
27,2,Scream,1996,http://www.icheckmovies.com/movies/scream/,45540,1685,280,8,741,,http://www.imdb.com/title/tt0117571/,"2012-03-14 22:10:24",no,no,no,no
28,2,"The Innocents",1961,http://www.icheckmovies.com/movies/the+innocents/,5305,568,38,12,613,,http://www.imdb.com/title/tt0055018/,"2012-03-14 22:10:05",yes,no,no,no
29,4,"The Omen",1976,http://www.icheckmovies.com/movies/the+omen/,17782,747,96,6,507,,http://www.imdb.com/title/tt0075005/,"2012-03-14 22:10:05",no,no,no,no
30,19,Ôdishon,1999,http://www.icheckmovies.com/movies/odishon/,10118,774,128,11,655,Audition,http://www.imdb.com/title/tt0235198/,"2012-07-05 01:20:40",no,no,no,no
